السنة ,الربع,المنطقة ,المدينة,الحي ,نوع العقار ,تصنيف العقار ,عدد الصفقات,متوسط الايجار  ر.س,متوسط الايجار لكل متر مربع ر.س
2026,1,الرياض,الزلفي,الفاروق,محل,تجاري,88,0,0
2026,1,الرياض,الرياض,الفاخرية,شقة,سكني,66,23759.58,201.39
2026,1,الرياض,الخرج,طويق,استديو,سكني,63,14244.16,303.83
2026,1,الرياض,الخرج,اليرموك,فيلا,سكني,9,27933.33,71.5
2026,1,الرياض,مرات,العزيزية,شقة,سكني,4,11875,106.56
2026,1,الرياض,عفيف,السليمانية,فيلا,سكني,4,13000,46.23
2026,1,الرياض,الرياض,العود,شقة,سكني,675,16622.69,175.34
2026,1,الرياض,الهدار,المصيف,دور,سكني,1,60000,300
2026,1,الرياض,مرات,السبخة,دور,سكني,2,45000,112.5
2026,1,الرياض,الرياض,العريجاء الأوسط,دوبلاكس,سكني,6,39900,193.15
2026,1,الرياض,الرياض,المؤتمرات,محل,تجاري,17,0,0
2026,1,الرياض,الرياض,النخيل,مكتب,تجاري,123,0,0
2026,1,الرياض,الدوادمي - البجادية,البلد,شقة,سكني,14,12833.33,104.51
2026,1,الرياض,الدلم,زميقة,دور,سكني,2,6750,42.05
2026,1,الرياض,شقراء,الملك عبدالله,استديو,سكني,3,9500,155.55
2026,1,الرياض,الرياض,السفارات,استديو,سكني,6,86250,1905.88
2026,1,الرياض,الفاخريه (المنبوزه),الفاخريه (المنبوزه),شقة,سكني,2,18000,225
2026,1,الرياض,المجمعة - تمير,الملك عبدالله,شقة,سكني,7,18750,125
2026,1,الرياض,الجبيلة,عقرباء,دوبلاكس,سكني,1,33000,183.33
2026,1,الرياض,الرياض,الفيحاء,مكتب,تجاري,53,0,0
2026,1,الرياض,الزلفي,القدس,شقة,سكني,23,8411.76,74.41
2026,1,الرياض,الأفلاج,الملك فهد,دور,سكني,23,12352.94,56.22
2026,1,الرياض,القويعية,الجفونية,محل,تجاري,7,0,0
2026,1,الرياض,النهتية الجديدة,مخطط آل سلطان,شقة,سكني,1,18000,100
2026,1,الرياض,ضرما,البديع الغربي,معرض تجاري,تجاري,1,0,0
2026,1,الرياض,الهياثم,العسيلة,فيلا,سكني,1,26500,132.5
2026,1,الرياض,شقراء,القارة,استديو,سكني,1,8000,114.28
2026,1,الرياض,الرياض,الوادي,استديو,سكني,46,22295.42,522.8
2026,1,الرياض,الخرج,العيون,محل,تجاري,17,0,0
2026,1,الرياض,الرياض,صياح,معرض تجاري,تجاري,22,0,0
2026,1,الرياض,الرياض,ديراب,معرض تجاري,تجاري,1,0,0
2026,1,الرياض,الرياض,المروة,استديو,سكني,6,13700,375.71
2026,1,الرياض,الرياض,الصفاء,استديو,سكني,6,12780,695.25
2026,1,الرياض,الرياض,غرناطة,فيلا,سكني,67,136563.18,487
2026,1,الرياض,الرياض,الزهراء,مكتب,تجاري,113,0,0
2026,1,الرياض,الرياض,الملز,استديو,سكني,158,19572.76,556.6
2026,1,الرياض,ضرما,العزيزية,شقة,سكني,27,16488.23,126.31
2026,1,الرياض,الرياض,حطين,محل,تجاري,152,0,0
2026,1,الرياض,الرياض,طويق,استديو,سكني,253,17228.09,374.26
2026,1,الرياض,الرياض,العمل,شقة,سكني,776,19486.61,219.38
2026,1,الرياض,الرياض,المصفاة,محل,تجاري,54,0,0
2026,1,الرياض,الزلفي,القدس,محل,تجاري,10,0,0
2026,1,الرياض,السليل,النخيل,محل,تجاري,17,0,0
2026,1,الرياض,القويعية,منطقة استراحات حمد الجبرين,محل,تجاري,1,0,0
2026,1,الرياض,مزارع البطين ومزرعه دواجن,قصور ال مقبل,شقة,سكني,14,17492.3,109.84
2026,1,الرياض,حوطه بنى تميم,التضامن,محل,تجاري,2,0,0
2026,1,الرياض,الرياض,النزهة,استديو,سكني,19,15477.77,453.37
2026,1,الرياض,المزاحمية,نوارة,دوبلاكس,سكني,1,32400,162
2026,1,الرياض,ضرما,جو,شقة,سكني,14,20400,107.18
2026,1,الرياض,الرياض,العمل,معرض تجاري,تجاري,102,0,0
2026,1,الرياض,الارطاويه الشماليه,الارطاويه الشماليه,فيلا,سكني,1,18000,140.49
2026,1,الرياض,الرياض,السويدي الغربي,مكتب,تجاري,31,0,0
2026,1,الرياض,عفيف,الحزم,محل,تجاري,2,0,0
2026,1,الرياض,الرياض,الملك سلمان,فيلا,سكني,44,144766.51,311.61
2026,1,الرياض,ثادق,الجامعة,دور,سكني,3,15000,75
2026,1,الرياض,الرياض,النسيم الغربي,استديو,سكني,275,15533.56,531.97
2026,1,الرياض,القصب,النهضة,محل,تجاري,1,0,0
2026,1,الرياض,ضرما,الديرة,شقة,سكني,4,12999.75,84.99
2026,1,الرياض,الرياض,أم سليم,دور,سكني,26,19745.54,145.74
2026,1,الرياض,الرين,الغريبية,شقة,سكني,3,18000,153.58
2026,1,الرياض,حريملاء,الروضة,دور,سكني,4,22833.33,100.97
2026,1,الرياض,مزارع العلاوه وماحولها,مزارع العلاوه وماحولها,محل,تجاري,1,0,0
2026,1,الرياض,الخرج,غياضة,دور,سكني,1,25000,83.33
2026,1,الرياض,رماح,الواحة,محل,تجاري,13,0,0
2026,1,الرياض,الدوادمي,الفيصلية,شقة,سكني,63,8128.72,89.37
2026,1,الرياض,الرياض,الملك فيصل,محل,تجاري,282,0,0
2026,1,الرياض,الرياض,الملك عبدالله,شقة,سكني,180,40977.98,321.32
2026,1,الرياض,الحريق - الحريق,الشرمان,دور,سكني,2,6000,33.41
2026,1,الرياض,الرياض,النفل,شقة,سكني,703,39098.75,355.63
2026,1,الرياض,الرياض,الدار البيضاء,فيلا,سكني,65,35339.28,124.79
2026,1,الرياض,الرياض,المربع,استديو,سكني,74,26676.66,720.47
2026,1,الرياض,الرياض,الغدير,مكتب,تجاري,55,0,0
2026,1,الرياض,الرياض,جرير,معرض تجاري,تجاري,2,0,0
2026,1,الرياض,الرياض,الربوة,محل,تجاري,232,0,0
2026,1,الرياض,الدوادمي,السنبلة,محل,تجاري,1,0,0
2026,1,الرياض,المزاحمية,الصقورية,فيلا,سكني,2,62000,281.81
2026,1,الرياض,مزارع البطين ومزرعه دواجن,منطقة مفتوحة تابعة لبلدية نمار,شقة,سكني,1,21600,135
2026,1,الرياض,الرياض,المعذر,استديو,سكني,19,23485.71,652.8
2026,1,الرياض,الدوادمي,الحرمين,استديو,سكني,1,8000,200
2026,1,الرياض,الحريق - الحريق,المدينة الجديدة,دور,سكني,9,10571.42,43.76
2026,1,الرياض,الرياض,عريض,محل,تجاري,34,0,0
2026,1,الرياض,الرياض,المعذر الشمالي,فيلا,سكني,34,134458.33,460.97
2026,1,الرياض,الرياض,العارض,استديو,سكني,201,28231.13,609.08
2026,1,الرياض,الرياض,المحمدية,معرض تجاري,تجاري,43,0,0
2026,1,الرياض,القعره,القعره,شقة,سكني,2,18000,104.36
2026,1,الرياض,الرياض,البيان,استديو,سكني,157,24415,650.48
2026,1,الرياض,الزلفي,اليرموك,محل,تجاري,15,0,0
2026,1,الرياض,الرياض,الملز,دور,سكني,169,42548.66,254.95
2026,1,الرياض,الرياض,النسيم الغربي,مكتب,تجاري,47,0,0
2026,1,الرياض,الرياض,الديرة,محل,تجاري,804,0,0
2026,1,الرياض,عفيف,الصناعية الأولى,شقة,سكني,1,4500,30
2026,1,الرياض,الرياض,قرطبة,دور,سكني,137,54422.46,248.38
2026,1,الرياض,حوطه سدير,العزيزية,فيلا,سكني,4,33000,162
2026,1,الرياض,الرياض,البيان,شقة,سكني,685,28433.39,251.35
2026,1,الرياض,ثادق,اليرموك,محل,تجاري,3,0,0
2026,1,الرياض,روضه سدير,الحزم,محل,تجاري,2,0,0
2026,1,الرياض,الخرج,الفيصلية,محل,تجاري,114,0,0
2026,1,الرياض,حوطه سدير,الياسمين,شقة,سكني,9,14687.5,111.15
2026,1,الرياض,الريشيه,الريشيه,شقة,سكني,1,18000,60
2026,1,الرياض,الارطاويه الشماليه,الارطاويه الشماليه,شقة,سكني,1,6000,60
2026,1,الرياض,الخرج,الخالدية,محل,تجاري,167,0,0
2026,1,الرياض,وادي الدواسر,الحنابجة,شقة,سكني,2,18000,150
2026,1,الرياض,الفايزيه ال هجاج,الفايزيه ال هجاج,شقة,سكني,1,18000,60
2026,1,الرياض,الرياض,المعذر,فيلا,سكني,28,175353.5,594.69
2026,1,الرياض,الرياض,عكاظ,دور,سكني,151,35173.01,171.5
2026,1,الرياض,الرياض,جامعة الملك سعود,معرض تجاري,تجاري,12,0,0
2026,1,الرياض,الخرج,العالية,شقة,سكني,89,16201.94,117.8
2026,1,الرياض,الرياض,اليرموك,مكتب,تجاري,135,0,0
2026,1,الرياض,حوطه سدير,الخطامه,محل,تجاري,6,0,0
